,TUDIARYDAY,Socializing for leisure,Alone time for leisure
1428,7,0,0
1429,5,0,70
1430,3,0,560
1431,5,0,885
1432,5,0,85
1433,4,0,460
1434,1,0,630
1435,3,30,0
1436,1,30,195
1437,7,0,402
1438,6,0,80
1439,7,0,508
1440,3,0,450
1441,2,135,30
1442,2,0,273
1443,4,0,130
1444,3,0,245
1445,7,0,347
1446,7,522,0
1447,1,0,390
1448,7,0,370
1449,6,170,95
1450,1,135,350
1451,7,425,0
1452,4,0,275
1453,1,0,180
1454,7,35,385
1455,2,0,150
1456,7,90,375
1457,6,0,240
1458,1,0,675
1459,1,210,300
1460,1,120,585
1461,3,45,115
1462,5,30,330
1463,6,20,658
1464,5,0,560
1465,1,30,660
1466,7,0,130
1467,3,240,390
1468,4,0,0
1469,4,80,0
1470,7,0,210
1471,3,0,173
1472,2,0,195
1473,2,0,80
1474,7,0,655
1475,4,0,515
1476,1,0,252
1477,1,0,630
1478,1,20,550
1479,7,0,380
1480,2,180,585
1481,5,30,289
1482,7,0,398
1483,1,0,230
1484,7,0,660
1485,1,0,240
1486,7,0,0
1487,1,0,360
1488,1,0,630
1489,6,318,406
1490,5,0,0
1491,7,0,450
1492,4,0,490
1493,1,90,180
1494,1,180,210
1495,7,60,450
1496,3,90,30
1497,1,0,435
1498,6,0,545
1499,7,120,268
1500,4,0,345
1501,3,0,757
1502,6,0,445
1503,3,0,105
1504,1,0,565
1505,7,0,515
1506,7,0,655
1507,7,300,270
1508,6,0,300
1509,3,10,110
1510,2,0,255
1511,7,130,210
1512,1,300,275
1513,1,0,727
1514,5,0,60
1515,7,0,0
1516,6,150,193
1517,3,0,930
1518,7,0,240
1519,7,180,550
1520,1,0,240
1521,2,197,90
1522,7,0,300
1523,1,100,145
1524,4,0,585
1525,1,335,197
1526,7,30,660
1527,7,0,290
1528,1,0,360
1529,7,165,258
1530,4,0,200
1531,6,170,360
1532,3,10,801
1533,2,10,65
1534,5,100,695
1535,4,0,825
1536,5,30,240
1537,4,0,655
1538,4,75,150
1539,2,0,180
1540,7,0,150
1541,1,0,90
1542,7,25,181
1543,1,0,180
1544,7,15,415
1545,7,0,115
1546,7,0,390
1547,1,0,420
1548,6,280,0
1549,5,155,120
1550,1,0,480
1551,4,125,0
1552,4,0,0
1553,7,0,195
1554,2,0,100
1555,7,0,345
1556,6,0,200
1557,4,0,360
1558,1,30,460
1559,3,60,490
1560,4,0,400
1561,7,0,120
1562,2,25,0
1563,2,210,60
1564,3,40,62
1565,1,35,175
1566,7,0,235
1567,7,75,290
1568,7,0,210
1569,6,90,20
1570,3,0,225
1571,2,0,730
1572,7,0,255
1573,7,0,495
1574,1,240,300
1575,7,370,360
1576,1,0,645
1577,1,0,270
1578,1,59,180
1579,1,0,420
1580,2,0,450
1581,5,30,15
1582,7,0,666
1583,7,0,465
1584,6,0,155
1585,3,0,175
1586,4,15,315
1587,2,240,463
1588,5,0,307
1589,6,0,255
1590,7,90,526
1591,7,213,230
1592,3,0,420
1593,1,30,160
1594,4,0,360
1595,7,0,250
1596,5,0,285
1597,4,0,370
1598,1,0,715
1599,7,0,60
1600,6,0,0
1601,3,0,270
1602,3,0,50
1603,4,60,270
1604,2,0,210
1605,1,0,490
1606,2,568,180
1607,3,0,270
1608,7,0,90
1609,6,0,84
1610,7,120,120
1611,1,0,515
1612,5,0,325
1613,2,0,80
1614,6,50,425
1615,3,0,310
1616,5,50,50
1617,1,0,360
1618,4,40,30
1619,1,30,610
1620,3,0,870
1621,1,0,370
1622,1,0,165
1623,2,0,60
1624,7,0,420
1625,1,237,211
1626,1,0,390
1627,1,0,245
1628,7,0,60
1629,1,215,120
1630,1,232,350
1631,5,75,0
1632,5,0,90
1633,5,137,75
1634,4,0,160
1635,4,12,60
1636,3,35,183
1637,3,0,325
1638,3,0,570
1639,1,0,0
1640,7,185,210
1641,7,323,0
1642,1,0,745
1643,6,0,125
1644,7,30,194
1645,7,0,750
1646,6,15,0
1647,4,0,0
1648,6,0,25
1649,1,60,0
